Player,season17_18,,,,,,,,,,,
Stephen Curry,34682550,,,,,,,,,,,0
LeBron James,33285709,,,,,,,,,,,
Paul Millsap,31269231,,,,,,,,,,,
Gordon Hayward,29727900,,,,,,,,,,,
Blake Griffin,29512900,,,,,,,,,,,
Kyle Lowry,28703704,,,,,,,,,,,
Russell Westbrook,28530608,,,,,,,,,,,
Mike Conley,28530608,,,,,,,,,,,
James Harden,28299399,,,,,,,,,,,
DeMar DeRozan,27739975,,,,,,,,,,,
Al Horford,27734405,,,,,,,,,,,
Carmelo Anthony,26243760,,,,,,,,,,,
Damian Lillard,26153057,,,,,,,,,,,
Jrue Holiday,25686667,,,,,,,,,,,
Chris Bosh,25289390,,,,,,,,,,,
Kevin Durant,2.50E+07,,,,,,,,,,,
Otto Porter,24773250,,,,,,,,,,,
Chris Paul,24599495,,,,,,,,,,,
C.J. McCollum,23962573,,,,,,,,,,,
Bradley Beal,23775506,,,,,,,,,,,
Anthony Davis,23775506,,,,,,,,,,,
Andre Drummond,23775506,,,,,,,,,,,
Hassan Whiteside,23775506,,,,,,,,,,,
Dwight Howard,23500000,,,,,,,,,,,
Chandler Parsons,23112004,,,,,,,,,,,
Harrison Barnes,23112004,,,,,,,,,,,
J.J. Redick,2.30E+07,,,,,,,,,,,
Marc Gasol,22642350,,,,,,,,,,,
Kevin Love,22642350,,,,,,,,,,,
Brook Lopez,22642350,,,,,,,,,,,
DeAndre Jordan,22642350,,,,,,,,,,,
Steven Adams,22471910,,,,,,,,,,,
Giannis Antetokounmpo,22471910,,,,,,,,,,,
Nicolas Batum,22434783,,,,,,,,,,,
Rudy Gobert,21974719,,,,,,,,,,,
LaMarcus Aldridge,21461010,,,,,,,,,,,
Victor Oladipo,2.10E+07,,,,,,,,,,,
Enes Kanter,20566802,,,,,,,,,,,
Danilo Gallinari,20559599,,,,,,,,,,,
Serge Ibaka,20061729,,,,,,,,,,,
George Hill,2.00E+07,,,,,,,,,,,
Ryan Anderson,19578455,,,,,,,,,,,
Paul George,19508958,,,,,,,,,,,
Allen Crabbe,19332500,,,,,,,,,,,
Jimmy Butler,19301070,,,,,,,,,,,
Jeff Teague,1.90E+07,,,,,,,,,,,
Kawhi Leonard,18868625,,,,,,,,,,,
Kyrie Irving,18868625,,,,,,,,,,,
John Wall,18063850,,,,,,,,,,,
DeMarcus Cousins,18063850,,,,,,,,,,,
Greg Monroe,17884176,,,,,,,,,,,
Wesley Matthews,17884176,,,,,,,,,,,
Klay Thompson,17826150,,,,,,,,,,,
Joakim Noah,17765000,,,,,,,,,,,
Kentavious Caldwell-Pope,17745894,,,,,,,,,,,
Luol Deng,17190000,,,,,,,,,,,
Evan Turner,17131148,,,,,,,,,,,
Goran Dragic,17000450,,,,,,,,,,,
Evan Fournier,1.70E+07,,,,,,,,,,,
Bismack Biyombo,1.70E+07,,,,,,,,,,,
Kent Bazemore,16910113,,,,,,,,,,,
Robert Covington,16698103,,,,,,,,,,,
Ian Mahinmi,16661641,,,,,,,,,,,
Tim Hardaway,16500000,,,,,,,,,,,
Draymond Green,16400000,,,,,,,,,,,
Tristan Thompson,16400000,,,,,,,,,,,
Reggie Jackson,1.60E+07,,,,,,,,,,,
Pau Gasol,1.60E+07,,,,,,,,,,,
Tobias Harris,1.60E+07,,,,,,,,,,,
Dwyane Wade,15550000,,,,,,,,,,,
Dennis Schroder,15500000,,,,,,,,,,,
Jonas Valanciunas,15460675,,,,,,,,,,,
Tony Parker,15453126,,,,,,,,,,,
Timofey Mozgov,15280000,,,,,,,,,,,
Andre Iguodala,14814815,,,,,,,,,,,
DeMarre Carroll,14800000,,,,,,,,,,,
Thaddeus Young,14796348,,,,,,,,,,,
Eric Bledsoe,14500000,,,,,,,,,,,
Ricky Rubio,14275000,,,,,,,,,,,
Joe Ingles,14136364,,,,,,,,,,,
Gorgui Dieng,14112360,,,,,,,,,,,
Khris Middleton,14100000,,,,,,,,,,,
Mason Plumlee,14041096,,,,,,,,,,,
Taj Gibson,1.40E+07,,,,,,,,,,,
James Johnson,13954000,,,,,,,,,,,
Robin Lopez,13788500,,,,,,,,,,,
J.R. Smith,13760000,,,,,,,,,,,
Brandon Knight,13618750,,,,,,,,,,,
Marvin Williams,13168750,,,,,,,,,,,
Tyson Chandler,1.30E+07,,,,,,,,,,,
Michael Kidd-Gilchrist,1.30E+07,,,,,,,,,,,
Eric Gordon,12943020,,,,,,,,,,,
Kenneth Faried,12921348,,,,,,,,,,,
Marcin Gortat,12782609,,,,,,,,,,,
Cody Zeller,12584270,,,,,,,,,,,
Miles Plumlee,12500000,,,,,,,,,,,
Nikola Mirotic,12500000,,,,,,,,,,,
Zach Randolph,12307692,,,,,,,,,,,
Nikola Vucevic,12250000,,,,,,,,,,,
Solomon Hill,12236535,,,,,,,,,,,
Wilson Chandler,12016854,,,,,,,,,,,
Jeremy Lin,1.20E+07,,,,,,,,,,,
Kemba Walker,1.20E+07,,,,,,,,,,,
Derrick Favors,1.20E+07,,,,,,,,,,,
Austin Rivers,11825000,,,,,,,,,,,
Courtney Lee,11747890,,,,,,,,,,,
Nikola Pekovic,11600000,,,,,,,,,,,
Jordan Clarkson,11562500,,,,,,,,,,,
John Henson,11422536,,,,,,,,,,,
Dion Waiters,1.10E+07,,,,,,,,,,,
Amir Johnson,1.10E+07,,,,,,,,,,,
Jamal Crawford,10942762,,,,,,,,,,,
Alec Burks,10845506,,,,,,,,,,,
Patty Mills,10714286,,,,,,,,,,,
Kelly Olynyk,10607169,,,,,,,,,,,
Omer Asik,10595505,,,,,,,,,,,
Terrence Ross,10500000,,,,,,,,,,,
Mirza Teletovic,10500000,,,,,,,,,,,
Bojan Bogdanovic,10500000,,,,,,,,,,,
Jon Leuer,10497319,,,,,,,,,,,
Iman Shumpert,10337079,,,,,,,,,,,
Maurice Harkless,10162922,,,,,,,,,,,
Jared Dudley,1.00E+07,,,,,,,,,,,
Darren Collison,1.00E+07,,,,,,,,,,,
Danny Green,1.00E+07,,,,,,,,,,,
Meyers Leonard,9904495,,,,,,,,,,,
Tony Snell,9821429,,,,,,,,,,,
Al Jefferson,9769821,,,,,,,,,,,
Matthew Dellavedova,9607500,,,,,,,,,,,
Joe Johnson,9505000,,,,,,,,,,,
Bogdan Bogdanovic,9470614,,,,,,,,,,,
Andre Roberson,9259259,,,,,,,,,,,
Trevor Booker,9125000,,,,,,,,,,,
Dwight Powell,9003125,,,,,,,,,,,
Jerryd Bayless,9.00E+06,,,,,,,,,,,
Avery Bradley,8808989,,,,,,,,,,,
JaMychal Green,8533333,,,,,,,,,,,
E'Twaun Moore,8445024,,,,,,,,,,,
Rudy Gay,8406000,,,,,,,,,,,
Kosta Koufos,8393000,,,,,,,,,,,
Markieff Morris,8.00E+06,,,,,,,,,,,
Garrett Temple,8.00E+06,,,,,,,,,,,
Vince Carter,8.00E+06,,,,,,,,,,,
C.J. Miles,7936509,,,,,,,,,,,
Cristiano Felicio,7843500,,,,,,,,,,,
Shaun Livingston,7692308,,,,,,,,,,,
Cory Joseph,7630000,,,,,,,,,,,
P.J. Tucker,7590035,,,,,,,,,,,
Corey Brewer,7579366,,,,,,,,,,,
Andrew Wiggins,7574322,,,,,,,,,,,
Darrell Arthur,7464912,,,,,,,,,,,
Channing Frye,7420912,,,,,,,,,,,
Trevor Ariza,7420912,,,,,,,,,,,
Al-Farouq Aminu,7319035,,,,,,,,,,,
Cole Aldrich,7300000,,,,,,,,,,,
D.J. Augustin,7250000,,,,,,,,,,,
Markelle Fultz,7026240,,,,,,,,,,,
Lou Williams,7.00E+06,,,,,,,,,,,
Kyle Korver,7.00E+06,,,,,,,,,,,
Jeremy Lamb,7.00E+06,,,,,,,,,,,
Boban Marjanovic,7.00E+06,,,,,,,,,,,
Jae Crowder,6796117,,,,,,,,,,,
Jabari Parker,6782392,,,,,,,,,,,
Langston Galloway,6666667,,,,,,,,,,,
Lance Thomas,6655325,,,,,,,,,,,
Ed Davis,6352531,,,,,,,,,,,
Marco Belinelli,6306060,,,,,,,,,,,
Jonathon Simmons,6300000,,,,,,,,,,,
Lonzo Ball,6286560,,,,,,,,,,,
Wayne Ellington,6270000,,,,,,,,,,,
Isaiah Thomas,6261395,,,,,,,,,,,
Karl-Anthony Towns,6216840,,,,,,,,,,,
Ben Simmons,6168840,,,,,,,,,,,
Joel Embiid,6100266,,,,,,,,,,,
Spencer Hawes,6021175,,,,,,,,,,,
Josh McRoberts,6021175,,,,,,,,,,,
Ish Smith,6.00E+06,,,,,,,,,,,
Alan Williams,6.00E+06,,,,,,,,,,,
Shelvin Mack,6.00E+06,,,,,,,,,,,
Milos Teodosic,6.00E+06,,,,,,,,,,,
Ersan Ilyasova,6.00E+06,,,,,,,,,,,
Dewayne Dedmon,6.00E+06,,,,,,,,,,,
Tyler Johnson,5881260,,,,,,,,,,,
Wesley Johnson,5881260,,,,,,,,,,,
Alex Abrines,5725000,,,,,,,,,,,
Jayson Tatum,5645400,,,,,,,,,,,
D'Angelo Russell,5562360,,,,,,,,,,,
Brandon Ingram,5519400,,,,,,,,,,,
Patrick Beverley,5513514,,,,,,,,,,,
Aaron Gordon,5504420,,,,,,,,,,,
Deron Williams,5500000,,,,,,,,,,,
Josh Smith,5400000,,,,,,,,,,,
Thabo Sefolosha,5250000,,,,,,,,,,,
Jason Smith,5225000,,,,,,,,,,,
Ben McLemore,5200000,,,,,,,,,,,
Patrick Patterson,5192000,,,,,,,,,,,
Nick Young,5192000,,,,,,,,,,,
Brandan Wright,5179760,,,,,,,,,,,
Josh Jackson,5090040,,,,,,,,,,,
Marcus Morris,5.00E+06,,,,,,,,,,,
Dirk Nowitzki,5.00E+06,,,,,,,,,,,
Greg Monroe,5.00E+06,,,,,,,,,,,
Mike Muscala,5.00E+06,,,,,,,,,,,
Jahlil Okafor,4995120,,,,,,,,,,,
Dante Exum,4992385,,,,,,,,,,,
Alexis Ajinca,4961798,,,,,,,,,,,
Jaylen Brown,4956480,,,,,,,,,,,
Jameer Nelson,4736050,,,,,,,,,,,
Kyle Singler,4666500,,,,,,,,,,,
Justin Holiday,4615385,,,,,,,,,,,
De'Aaron Fox,4609200,,,,,,,,,,,
Marcus Smart,4538020,,,,,,,,,,,
Kristaps Porzingis,4503600,,,,,,,,,,,
Dragan Bender,4468800,,,,,,,,,,,
Devin Harris,4402546,,,,,,,,,,,
Ron Baker,4328000,,,,,,,,,,,
Jamal Crawford,4328000,,,,,,,,,,,
Aron Baynes,4328000,,,,,,,,,,,
Alex Len,4187599,,,,,,,,,,,
Nerlens Noel,4187599,,,,,,,,,,,
Jonathan Isaac,4186320,,,,,,,,,,,
Lance Stephenson,4180000,,,,,,,,,,,
Julius Randle,4149242,,,,,,,,,,,
Kyle O'Quinn,4087500,,,,,,,,,,,
Mario Hezonja,4078320,,,,,,,,,,,
Kris Dunn,4046760,,,,,,,,,,,
Jonas Jerebko,4.00E+06,,,,,,,,,,,
Nemanja Bjelica,3949999,,,,,,,,,,,
J.J. Barea,3903900,,,,,,,,,,,
Quincy Pondexter,3853931,,,,,,,,,,,
Lauri Markkanen,3821640,,,,,,,,,,,
Nik Stauskas,3807146,,,,,,,,,,,
Willie Cauley-Stein,3704160,,,,,,,,,,,
Buddy Hield,3675480,,,,,,,,,,,
Will Barton,3533333,,,,,,,,,,,
Noah Vonleh,3505233,,,,,,,,,,,
Frank Ntilikina,3501120,,,,,,,,,,,
Nene Hilario,3477600,,,,,,,,,,,
Zaza Pachulia,3477600,,,,,,,,,,,
Troy Daniels,3408520,,,,,,,,,,,
Emmanuel Mudiay,3381480,,,,,,,,,,,
Jamal Murray,3355320,,,,,,,,,,,
Elfrid Payton,3332340,,,,,,,,,,,
Rajon Rondo,3300000,,,,,,,,,,,
Doug McDermott,3294994,,,,,,,,,,,
Jodie Meeks,3290000,,,,,,,,,,,
Tyreke Evans,3290000,,,,,,,,,,,
Tarik Black,3290000,,,,,,,,,,,
Anthony Tolliver,3290000,,,,,,,,,,,
Dennis Smith,3218280,,,,,,,,,,,
Zach LaVine,3202217,,,,,,,,,,,
Ekpe Udoh,3200000,,,,,,,,,,,
T.J. Warren,3152931,,,,,,,,,,,
Stanley Johnson,3097800,,,,,,,,,,,
Marquese Chriss,3073800,,,,,,,,,,,
Zach Collins,3057240,,,,,,,,,,,
James Ennis,3028410,,,,,,,,,,,
Seth Curry,3028410,,,,,,,,,,,
Mindaugas Kuzminskas,3025035,,,,,,,,,,,
Tomas Satoransky,3.00E+06,,,,,,,,,,,
Rajon Rondo,3.00E+06,,,,,,,,,,,
Lucas Nogueira,2947305,,,,,,,,,,,
Jusuf Nurkic,2947305,,,,,,,,,,,
Malik Monk,2904480,,,,,,,,,,,
Frank Kaminsky,2847600,,,,,,,,,,,
Andrew Nicholson,2844429,,,,,,,,,,,
Jakob Poeltl,2825640,,,,,,,,,,,
Luke Kennard,2759280,,,,,,,,,,,
Justise Winslow,2705040,,,,,,,,,,,
Michael Carter-Williams,2700000,,,,,,,,,,,
Thon Maker,2684160,,,,,,,,,,,
Cedi Osman,2642857,,,,,,,,,,,
Donovan Mitchell,2621280,,,,,,,,,,,
Myles Turner,2569920,,,,,,,,,,,
Gary Harris,2550055,,,,,,,,,,,
Domantas Sabonis,2550000,,,,,,,,,,,
Manu Ginobili,2500000,,,,,,,,,,,
Reggie Bullock,2500000,,,,,,,,,,,
Richard Jefferson,2500000,,,,,,,,,,,
Malcolm Delaney,2500000,,,,,,,,,,,
Bam Adebayo,2490360,,,,,,,,,,,
Bruno Caboclo,2451225,,,,,,,,,,,
Ronnie Price,2442455,,,,,,,,,,,
Trey Lyles,2441400,,,,,,,,,,,
Dario Saric,2422560,,,,,,,,,,,
Taurean Waller-Prince,2422560,,,,,,,,,,,
Rodney Hood,2386864,,,,,,,,,,,
Justin Jackson,2365560,,,,,,,,,,,
Shabazz Napier,2361360,,,,,,,,,,,
Clint Capela,2334520,,,,,,,,,,,
Arron Afflalo,2328652,,,,,,,,,,,
Raymond Felton,2328652,,,,,,,,,,,
Nick Collison,2328652,,,,,,,,,,,
Ramon Sessions,2328652,,,,,,,,,,,
Jarrett Jack,2328652,,,,,,,,,,,
Jason Terry,2328652,,,,,,,,,,,
Udonis Haslem,2328652,,,,,,,,,,,
Dwyane Wade,2328652,,,,,,,,,,,
David West,2328652,,,,,,,,,,,
Richard Jefferson,2328652,,,,,,,,,,,
Jose Calderon,2328652,,,,,,,,,,,
Andrew Bogut,2328652,,,,,,,,,,,
Devin Booker,2319360,,,,,,,,,,,
Georgios Papagiannis,2301360,,,,,,,,,,,
Dante Cunningham,2300000,,,,,,,,,,,
Jameer Nelson,2262871,,,,,,,,,,,
Justin Patton,2247480,,,,,,,,,,,
Guerschon Yabusele,2247480,,,,,,,,,,,
Monta Ellis,2245400,,,,,,,,,,,
Cameron Payne,2203440,,,,,,,,,,,
Denzel Valentine,2186400,,,,,,,,,,,
Josh Smith,2183934,,,,,,,,,,,
Kyle Anderson,2151704,,,,,,,,,,,
D.J. Wilson,2135040,,,,,,,,,,,
Matt Barnes,2133542,,,,,,,,,,,
Derrick Rose,2116955,,,,,,,,,,,
Marreese Speights,2116955,,,,,,,,,,,
Michael Beasley,2116955,,,,,,,,,,,
Aaron Brooks,2116955,,,,,,,,,,,
Luc Mbah a Moute,2116955,,,,,,,,,,,
JaVale McGee,2116955,,,,,,,,,,,
Jeff Green,2116955,,,,,,,,,,,
Tony Allen,2116955,,,,,,,,,,,
Damien Wilkins,2116955,,,,,,,,,,,
Omri Casspi,2106470,,,,,,,,,,,
Mario Chalmers,2106407,,,,,,,,,,,
Darius Miller,2100000,,,,,,,,,,,
Kelly Oubre,2093040,,,,,,,,,,,
Juan Hernangomez,2076840,,,,,,,,,,,
T.J. Leaf,2028360,,,,,,,,,,,
Tim Frazier,2.00E+06,,,,,,,,,,,
Anthony Tolliver,2.00E+06,,,,,,,,,,,
Terry Rozier,1988520,,,,,,,,,,,
Luke Babbitt,1974159,,,,,,,,,,,
John Collins,1936920,,,,,,,,,,,
Anderson Varejao,1913345,,,,,,,,,,,
Rashad Vaughn,1889040,,,,,,,,,,,
Tim Duncan,1881250,,,,,,,,,,,
Wade Baldwin,1874400,,,,,,,,,,,
Larry Sanders,1865547,,,,,,,,,,,
Harry Giles,1859400,,,,,,,,,,,
Sam Dekker,1794600,,,,,,,,,,,
Terrance Ferguson,1785000,,,,,,,,,,,
Henry Ellenson,1780800,,,,,,,,,,,
Eric Moreland,1739333,,,,,,,,,,,
Jerian Grant,1713840,,,,,,,,,,,
Jarrett Allen,1713720,,,,,,,,,,,
Mike Scott,1709538,,,,,,,,,,,
Tyler Zeller,1709538,,,,,,,,,,,
Quincy Acy,1709538,,,,,,,,,,,
Malik Beasley,1700640,,,,,,,,,,,
Mike Dunleavy,1662500,,,,,,,,,,,
Delon Wright,1645200,,,,,,,,,,,
OG Anunoby,1645200,,,,,,,,,,,
Ante Zizic,1645200,,,,,,,,,,,
Caris LeVert,1632480,,,,,,,,,,,
Justin Anderson,1579440,,,,,,,,,,,
Tyler Lydon,1579440,,,,,,,,,,,
Jeff Withey,1577320,,,,,,,,,,,
Ian Clark,1577230,,,,,,,,,,,
Shabazz Muhammad,1577230,,,,,,,,,,,
Willie Reed,1577230,,,,,,,,,,,
DeAndre Liggins,1577230,,,,,,,,,,,
DeAndre' Bembry,1567200,,,,,,,,,,,
Joffrey Lauvergne,1524305,,,,,,,,,,,
Jerami Grant,1524305,,,,,,,,,,,
Johnny O'Bryant,1524305,,,,,,,,,,,
Tyler Ennis,1524305,,,,,,,,,,,
Julyan Stone,1524305,,,,,,,,,,,
Sean Kilpatrick,1524305,,,,,,,,,,,
Joe Harris,1524305,,,,,,,,,,,
Spencer Dinwiddie,1524305,,,,,,,,,,,
Shane Larkin,1524305,,,,,,,,,,,
Glenn Robinson,1524305,,,,,,,,,,,
Bobby Brown,1524305,,,,,,,,,,,
Bobby Portis,1516320,,,,,,,,,,,
Malachi Richardson,1504560,,,,,,,,,,,
Arron Afflalo,1500000,,,,,,,,,,,
Norman Powell,1471382,,,,,,,,,,,
Josh Richardson,1471382,,,,,,,,,,,
Rondae Hollis-Jefferson,1471382,,,,,,,,,,,
Tyus Jones,1471382,,,,,,,,,,,
Jarell Martin,1471382,,,,,,,,,,,
Larry Nance,1471382,,,,,,,,,,,
Troy Williams,1471382,,,,,,,,,,,
Chris McCullough,1471382,,,,,,,,,,,
Raul Neto,1471382,,,,,,,,,,,
Pat Connaughton,1471382,,,,,,,,,,,
Richaun Holmes,1471382,,,,,,,,,,,
T.J. McConnell,1471382,,,,,,,,,,,
Josh Huestis,1471382,,,,,,,,,,,
Jordan Mickey,1471382,,,,,,,,,,,
Montrezl Harrell,1471382,,,,,,,,,,,
Joe Young,1471382,,,,,,,,,,,
Kevon Looney,1471382,,,,,,,,,,,
Nikola Jokic,1471382,,,,,,,,,,,
Salah Mejri,1471382,,,,,,,,,,,
Caleb Swanigan,1465920,,,,,,,,,,,
Furkan Korkmaz,1465920,,,,,,,,,,,
Willy Hernangomez,1435750,,,,,,,,,,,
Kyle Kuzma,1423560,,,,,,,,,,,
Tony Bradley,1414920,,,,,,,,,,,
Derrick White,1404600,,,,,,,,,,,
Josh Hart,1394520,,,,,,,,,,,
Timothe Luwawu-Cabarrot,1386600,,,,,,,,,,,
Kevin Martin,1360305,,,,,,,,,,,
Brice Johnson,1331160,,,,,,,,,,,
Pascal Siakam,1312611,,,,,,,,,,,
Dejounte Murray,1312611,,,,,,,,,,,
Skal Labissiere,1312611,,,,,,,,,,,
A.J. Hammons,1312611,,,,,,,,,,,
Deyonta Davis,1312611,,,,,,,,,,,
Chinanu Onuaku,1312611,,,,,,,,,,,
Damian Jones,1312611,,,,,,,,,,,
Wayne Selden,1312611,,,,,,,,,,,
Cheick Diallo,1312611,,,,,,,,,,,
Joel Bolomboy,1312611,,,,,,,,,,,
Davis Bertans,1312611,,,,,,,,,,,
Bryn Forbes,1312611,,,,,,,,,,,
Jake Layman,1312611,,,,,,,,,,,
Tyler Ulis,1312611,,,,,,,,,,,
Marcus Georges-Hunt,1312611,,,,,,,,,,,
Malcolm Brogdon,1312611,,,,,,,,,,,
Rodney McGruder,1312611,,,,,,,,,,,
Andrew Harrison,1312611,,,,,,,,,,,
Ivica Zubac,1312611,,,,,,,,,,,
Patrick McCaw,1312611,,,,,,,,,,,
Dorian Finney-Smith,1312611,,,,,,,,,,,
Yogi Ferrell,1312611,,,,,,,,,,,
Treveon Graham,1312611,,,,,,,,,,,
David Nwaba,1312611,,,,,,,,,,,
Paul Zipser,1312611,,,,,,,,,,,
Isaiah Whitehead,1312611,,,,,,,,,,,
Sheldon Mac,1312611,,,,,,,,,,,
Okaro White,1312611,,,,,,,,,,,
Nicolas Brussino,1312611,,,,,,,,,,,
Diamond Stone,1312611,,,,,,,,,,,
Isaiah Taylor,1312611,,,,,,,,,,,
Kay Felder,1312611,,,,,,,,,,,
Fred VanVleet,1312611,,,,,,,,,,,
Derrick Jones,1312611,,,,,,,,,,,
Chasson Randle,1312611,,,,,,,,,,,
Stephen Zimmerman,1312611,,,,,,,,,,,
Semi Ojeleye,1291892,,,,,,,,,,,
Frank Mason,1184385,,,,,,,,,,,
Abdel Nader,1167333,,,,,,,,,,,
Damyean Dotson,1100000,,,,,,,,,,,
Paul Pierce,1096080,,,,,,,,,,,
Isaiah Canaan,1069308,,,,,,,,,,,
Wesley Iwundu,1050000,,,,,,,,,,,
Livio Jean-Charles,1035200,,,,,,,,,,,
Justin Hamilton,1.00E+06,,,,,,,,,,,
Gerald Henderson,1.00E+06,,,,,,,,,,,
Rade Zagorac,950000,,,,,,,,,,,
Ivan Rabb,950000,,,,,,,,,,,
Ike Anigbogu,950000,,,,,,,,,,,
Gerald Green,947248,,,,,,,,,,,
Jason Thompson,945126,,,,,,,,,,,
Martell Webster,830000,,,,,,,,,,,
Frank Jackson,815615,,,,,,,,,,,
Jordan Bell,815615,,,,,,,,,,,
Dakari Johnson,815615,,,,,,,,,,,
Sterling Brown,815615,,,,,,,,,,,
Dillon Brooks,815615,,,,,,,,,,,
Jawun Evans,815615,,,,,,,,,,,
Sindarius Thornwell,815615,,,,,,,,,,,
Dwayne Bacon,815615,,,,,,,,,,,
Tyler Dorsey,815615,,,,,,,,,,,
Davon Reed,815615,,,,,,,,,,,
Royce O'Neale,815615,,,,,,,,,,,
Alfonzo McKinnie,815615,,,,,,,,,,,
Brandon Paul,815615,,,,,,,,,,,
Khem Birch,815615,,,,,,,,,,,
Thomas Bryant,815615,,,,,,,,,,,
Zhou Qi,815615,,,,,,,,,,,
Maxi Kleber,815615,,,,,,,,,,,
Daniel Theis,815615,,,,,,,,,,,
Sean Kilpatrick,789725,,,,,,,,,,,
Trey Burke,784160,,,,,,,,,,,
Alex Poythress,778668,,,,,,,,,,,
Marco Belinelli,776217,,,,,,,,,,,
Joe Johnson,749905,,,,,,,,,,,
Dwight Buycks,748160,,,,,,,,,,,
Tyler Cavanaugh,679919,,,,,,,,,,,
Carlos Delfino,650000,,,,,,,,,,,
Caron Butler,517220,,,,,,,,,,,
Jordan Farmar,510921,,,,,,,,,,,
Ersan Ilyasova,502328,,,,,,,,,,,
Leandro Barbosa,5.00E+05,,,,,,,,,,,
Tibor Pleiss,5.00E+05,,,,,,,,,,,
Michael Gbinije,5.00E+05,,,,,,,,,,,
Aaron Gray,452059,,,,,,,,,,,
Festus Ezeli,333334,,,,,,,,,,,
C.J. Watson,333334,,,,,,,,,,,
Gal Mekel,315760,,,,,,,,,,,
Miroslav Raduljica,3.00E+05,,,,,,,,,,,
Cameron Oliver,3.00E+05,,,,,,,,,,,
Ramon Sessions,263124,,,,,,,,,,,
Jordan Crawford,250000,,,,,,,,,,,
Emeka Okafor,239204,,,,,,,,,,,
Wade Baldwin,222476,,,,,,,,,,,
Isaiah Canaan,2.00E+05,,,,,,,,,,,
Rakeem Christmas,172552,,,,,,,,,,,
DeAndre Liggins,172238,,,,,,,,,,,
Sean Kilpatrick,172238,,,,,,,,,,,
Rashad Vaughn,166258,,,,,,,,,,,
Troy Williams,148318,,,,,,,,,,,
Travis Wear,148318,,,,,,,,,,,
Carrick Felix,140902,,,,,,,,,,,
Brandon Rush,119602,,,,,,,,,,,
Brandon Jennings,119010,,,,,,,,,,,
Derrick Williams,104059,,,,,,,,,,,
K.J. McDaniels,1.00E+05,,,,,,,,,,,
Marshall Plumlee,1.00E+05,,,,,,,,,,,
Georges Niang,1.00E+05,,,,,,,,,,,
Quinn Cook,1.00E+05,,,,,,,,,,,
Demetrius Jackson,92858,,,,,,,,,,,
Kyle Collinsworth,92160,,,,,,,,,,,
Josh Gray,92160,,,,,,,,,,,
Naz Mitrou-Long,92160,,,,,,,,,,,
Shaquille Harrison,92160,,,,,,,,,,,
"Walt Lemon, Jr.",92160,,,,,,,,,,,
Antonius Cleveland,92160,,,,,,,,,,,
Jaylen Morris,92160,,,,,,,,,,,
Mike James,87552,,,,,,,,,,,
Jarell Eddie,83129,,,,,,,,,,,
Jarell Eddie,83129,,,,,,,,,,,
Briante Weber,83129,,,,,,,,,,,
Demetrius Jackson,74159,,,,,,,,,,,
Georgios Papagiannis,74159,,,,,,,,,,,
Larry Drew,74159,,,,,,,,,,,
Scotty Hopson,74159,,,,,,,,,,,
Isaiah Canaan,53465,,,,,,,,,,,
Tyler Cavanaugh,50000,,,,,,,,,,,
Kyle Collinsworth,50000,,,,,,,,,,,
Demetrius Jackson,50000,,,,,,,,,,,
Daniel Ochefu,50000,,,,,,,,,,,
Michael Young,50000,,,,,,,,,,,
Nate Wolters,50000,,,,,,,,,,,
Naz Mitrou-Long,50000,,,,,,,,,,,
Eric Griffin,50000,,,,,,,,,,,
Jacob Pullen,50000,,,,,,,,,,,
James Michael McAdoo,50000,,,,,,,,,,,
Nigel Hayes,50000,,,,,,,,,,,
Jalen Moore,50000,,,,,,,,,,,
Gary Payton,50000,,,,,,,,,,,
Matt Williams,50000,,,,,,,,,,,
Vince Hunter,50000,,,,,,,,,,,
Vander Blue,50000,,,,,,,,,,,
V.J. Beachem,50000,,,,,,,,,,,
Briante Weber,50000,,,,,,,,,,,
Jamil Wilson,50000,,,,,,,,,,,
Briante Weber,50000,,,,,,,,,,,
Luis Montero,50000,,,,,,,,,,,
Gian Clavell,50000,,,,,,,,,,,
Antonius Cleveland,50000,,,,,,,,,,,
Diamond Stone,50000,,,,,,,,,,,
Yakuba Ouattara,50000,,,,,,,,,,,
Jeremy Evans,50000,,,,,,,,,,,
Nigel Hayes,46080,,,,,,,,,,,
Nigel Hayes,46080,,,,,,,,,,,
Rodney Purvis,46080,,,,,,,,,,,
Xavier Rathan-Mayes,46080,,,,,,,,,,,
Trey McKinney-Jones,46080,,,,,,,,,,,
Jameel Warney,46080,,,,,,,,,,,
Marcus Thornton,46080,,,,,,,,,,,
DeAndre Liggins,26773,,,,,,,,,,,
Axel Toupane,25000,,,,,,,,,,,
Quinn Cook,25000,,,,,,,,,,,
Chris Johnson,25000,,,,,,,,,,,
Beno Udrih,25000,,,,,,,,,,,
Joel Bolomboy,22248,,,,,,,,,,,
Jarell Eddie,17224,,,,,,,,,,,
